code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
C08,금속가공제품,2363 ,5775 ,92629 ,55352 ,14967 ,10769 ,113207 ,60295 ,82626 ,1764616 ,414618 ,110669 ,554476 ,2153630 ,36148 ,63718 ,28579 ,1172 ,386731 ,9908 ,46550 ,45879 ,2900 ,4127 ,1730 ,48046 ,5169 ,671 ,3633 ,1488 ,1616 ,26260 ,6150317 ,569357 ,0 ,322343 ,516945 ,122609 ,0 ,0 ,1531254 ,7681571 
C09,"컴퓨터, 전자 및 광학기기",213 ,5 ,178 ,785 ,2224 ,268 ,128223 ,43883 ,11604 ,10103 ,31980111 ,1400191 ,945540 ,2264983 ,6592 ,91550 ,44717 ,2642 ,146886 ,62898 ,47135 ,4995 ,2326529 ,32851 ,732 ,1246895 ,29971 ,144793 ,238686 ,653599 ,6635 ,121359 ,41997776 ,6847976 ,0 ,10509956 ,842914 ,942767 ,0 ,0 ,19143613 ,61141389 
C10,전기장비,135 ,10 ,220 ,455 ,429 ,616 ,26541 ,9732 ,201823 ,39390 ,2968101 ,3872894 ,644455 ,1819560 ,4752 ,69562 ,158016 ,208 ,711798 ,1368 ,74210 ,12227 ,20475 ,260 ,1888 ,304391 ,28958 ,297 ,2796 ,2958 ,13887 ,114286 ,11106698 ,591009 ,0 ,3123070 ,24039 ,19755 ,0 ,0 ,3757873 ,14864571 
C11,기계 및 장비,3727 ,2988 ,16526 ,226245 ,76040 ,40999 ,175301 ,48574 ,200750 ,225308 ,427485 ,384338 ,5995883 ,3641467 ,6132 ,335924 ,362116 ,18834 ,573528 ,13623 ,106959 ,2299 ,19492 ,14243 ,6072 ,249567 ,20779 ,241985 ,7270 ,5992 ,2456 ,119093 ,13571995 ,417026 ,0 ,23102258 ,66063 ,59603 ,0 ,0 ,23644950 ,37216945 
C12,운송장비,53267 ,67 ,0 ,1147 ,100 ,0 ,15859 ,11250 ,6961 ,12189 ,230 ,31316 ,73961 ,6098212 ,47562 ,5120 ,794 ,182 ,159 ,2838 ,2028638 ,430 ,3026 ,0 ,98 ,156577 ,1708 ,170404 ,1959 ,409 ,563 ,244314 ,8969340 ,2834986 ,0 ,9258805 ,1654896 ,57085 ,0 ,0 ,13805772 ,22775112 
C13,기타 제조업 제품,246 ,20 ,5414 ,176590 ,2631 ,584 ,9728 ,395 ,1705 ,7024 ,28272 ,1202 ,2951 ,75598 ,427790 ,11375 ,757 ,9474 ,35288 ,45757 ,23270 ,78447 ,49081 ,25835 ,1358 ,126064 ,15347 ,17985 ,58768 ,30768 ,147453 ,11522 ,1428699 ,2540002 ,0 ,293927 ,26714 ,46022 ,8158 ,0 ,2914823 ,4343522 
C14,제조임가공 및 산업용 장비 수리,123 ,20 ,7836 ,2171499 ,5539 ,632 ,105414 ,1803 ,27687 ,75243 ,5508169 ,769460 ,162486 ,141874 ,22357 ,2683 ,770 ,12 ,808 ,17287 ,463 ,168 ,1000 ,2897 ,17 ,7228 ,4165 ,2303 ,71 ,1725 ,518 ,977 ,9043234 ,1335 ,0 ,34022 ,463 ,-1163 ,0 ,0 ,34657 ,9077891 
D,"전력, 가스 및 증기",8 ,0 ,41 ,329 ,231 ,1185 ,3245 ,25 ,2019 ,234 ,17955 ,332 ,402 ,7962 ,6 ,8 ,9 ,2 ,1 ,735 ,217 ,503 ,103 ,151 ,170 ,4564 ,321 ,5990 ,32 ,2 ,80 ,5 ,46867 ,133326 ,0 ,0 ,0 ,0 ,0 ,0 ,133326 ,180193 
E,"수도, 폐기물처리 및 재활용서비스",30 ,0 ,72 ,44 ,20 ,36 ,531 ,31 ,213 ,66 ,789 ,27 ,53 ,1207 ,7 ,2 ,66 ,249 ,24 ,470 ,104 ,695 ,73 ,124 ,279 ,363 ,101 ,472 ,154 ,402 ,69 ,59 ,6832 ,23477 ,0 ,0 ,0 ,0 ,0 ,0 ,23477 ,30309 
F,건설,0 ,0 ,0 ,0 ,0 ,9 ,51 ,0 ,16 ,0 ,654 ,11 ,8 ,310 ,0 ,0 ,0 ,0 ,0 ,9 ,74 ,3 ,4 ,2 ,43 ,41 ,6 ,26724 ,0 ,0 ,0 ,0 ,27965 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27965 
G,도소매 및 상품중개서비스,269 ,495 ,8218 ,159973 ,20445 ,0 ,593054 ,10062 ,469416 ,147301 ,364446 ,218498 ,359207 ,249082 ,19874 ,520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40982 ,0 ,0 ,0 ,0 ,0 ,542 ,2662384 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2662384 
H,운송서비스,252478 ,773 ,5993 ,8293 ,3181 ,5976 ,24590 ,4360 ,16288 ,6973 ,88584 ,11091 ,15918 ,42061 ,1853 ,2211 ,1789 ,19041 ,4652 ,625330 ,12115691 ,2286 ,17573 ,26426 ,3090 ,86032 ,60483 ,170284 ,6833 ,5458 ,6524 ,7302 ,13649417 ,2935357 ,0 ,0 ,0 ,0 ,0 ,0 ,2935357 ,16584774 
I,음식점 및 숙박서비스,32457 ,926 ,3910 ,7271 ,6604 ,2121 ,16584 ,4332 ,14735 ,6544 ,22965 ,4578 ,14798 ,16723 ,1385 ,11870 ,5145 ,7077 ,12297 ,107433 ,272666 ,24576 ,40489 ,58776 ,10786 ,176555 ,34925 ,89295 ,93900 ,26574 ,33770 ,44253 ,1206320 ,9250333 ,0 ,0 ,0 ,0 ,0 ,0 ,9250333 ,10456653 
J,정보통신 및 방송 서비스,2650 ,72 ,2686 ,2257 ,6229 ,6389 ,24040 ,853 ,9803 ,1799 ,247757 ,2536 ,7870 ,83873 ,198 ,6775 ,4250 ,4525 ,6022 ,103720 ,63165 ,2295 ,1689562 ,102129 ,3380 ,285991 ,33623 ,69459 ,36361 ,7278 ,58810 ,6466 ,2882823 ,1180254 ,0 ,1824336 ,6028 ,7863 ,0 ,0 ,3018481 ,5901304 
K,금융 및 보험 서비스,21133 ,3265 ,17649 ,16151 ,11375 ,4944 ,35005 ,11215 ,28789 ,20680 ,40422 ,22427 ,33174 ,63226 ,5885 ,9722 ,30721 ,7059 ,99494 ,106978 ,57432 ,27235 ,24905 ,1114783 ,314163 ,65182 ,19654 ,33515 ,18823 ,35548 ,20219 ,23337 ,2344110 ,686905 ,0 ,0 ,0 ,0 ,0 ,0 ,686905 ,3031015 
L,부동산서비스,3 ,0 ,2586 ,8631 ,1522 ,9072 ,56124 ,308 ,4908 ,1337 ,115230 ,12689 ,10794 ,150426 ,1472 ,198 ,0 ,0 ,2876 ,226255 ,67474 ,0 ,19344 ,34285 ,1046 ,121961 ,48458 ,291532 ,0 ,2066 ,9117 ,1721 ,1201435 ,1024442 ,0 ,0 ,0 ,0 ,0 ,0 ,1024442 ,2225877 
M,"전문, 과학 및 기술 서비스",9803 ,607 ,162157 ,78316 ,44003 ,124552 ,422197 ,22435 ,325982 ,71392 ,1741673 ,108011 ,114140 ,2024928 ,9345 ,9633 ,47776 ,15271 ,450114 ,1136936 ,297137 ,111515 ,859848 ,1728614 ,56518 ,1737522 ,167218 ,186658 ,109183 ,19559 ,110571 ,16265 ,12319879 ,43754 ,0 ,124277 ,0 ,0 ,0 ,0 ,168031 ,12487910 
N,사업지원서비스,24293 ,660 ,34045 ,57162 ,20139 ,30937 ,219799 ,11549 ,245400 ,39942 ,421937 ,22133 ,18843 ,200032 ,5011 ,134683 ,224723 ,161176 ,159703 ,982188 ,3109053 ,22691 ,1069433 ,856557 ,14335 ,746599 ,414390 ,279161 ,117825 ,16155 ,152106 ,26729 ,9839389 ,958835 ,0 ,0 ,0 ,0 ,0 ,0 ,958835 ,10798224 
O,"공공행정, 국방 및 사회보장",79466 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,529150 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,608616 ,21979 ,0 ,0 ,0 ,0 ,0 ,0 ,21979 ,630595 
P,교육서비스,1385 ,42 ,450 ,556 ,453 ,581 ,1808 ,349 ,1241 ,557 ,1425 ,369 ,957 ,1344 ,103 ,1415 ,369 ,398 ,957 ,7864 ,9220 ,1536 ,2439 ,4154 ,547 ,4384 ,1592 ,9506 ,3843 ,1094 ,1418 ,2164 ,64520 ,4005294 ,0 ,0 ,0 ,0 ,0 ,0 ,4005294 ,4069814 
Q,보건 및 사회복지 서비스,1355 ,0 ,2 ,4 ,1 ,0 ,13 ,3 ,1 ,4 ,6 ,3 ,9 ,14 ,2 ,0 ,4 ,1 ,9 ,86 ,10 ,16 ,14 ,42 ,0 ,77 ,14 ,148 ,20 ,71 ,6 ,2 ,1937 ,222480 ,0 ,0 ,0 ,0 ,0 ,0 ,222480 ,224417 
R,"예술, 스포츠 및 여가 관련 서비스",1235 ,167 ,8427 ,14932 ,5293 ,2421 ,31890 ,2519 ,46005 ,9210 ,38841 ,3166 ,2921 ,21998 ,988 ,24090 ,39059 ,28858 ,29867 ,165657 ,84239 ,3484 ,341051 ,151412 ,2288 ,52083 ,23089 ,51178 ,22752 ,3534 ,89615 ,9247 ,1311516 ,1427348 ,0 ,395 ,0 ,0 ,0 ,0 ,1427743 ,2739259 
S,기타 서비스,62 ,1 ,142 ,146 ,159 ,2580 ,10285 ,49 ,5858 ,366 ,27702 ,988 ,1773 ,47992 ,17 ,48 ,29 ,13 ,173 ,13599 ,6069 ,622 ,4242 ,3196 ,20 ,22113 ,4725 ,2227 ,239 ,30 ,607 ,429 ,156501 ,206802 ,0 ,12425 ,331 ,0 ,0 ,0 ,219558 ,376059 
9590,중간투입계,1842808 ,21231 ,11477915 ,12565580 ,5674504 ,50141024 ,42924518 ,3709031 ,38234790 ,6612189 ,59058751 ,10593367 ,10509472 ,26469306 ,1576762 ,1166307 ,27499782 ,423401 ,7034142 ,4178696 ,25543692 ,5133962 ,6736658 ,4193679 ,437667 ,7124290 ,1171149 ,1877263 ,1143794 ,4128972 ,837843 ,1062334 ,381104879 ,62280564 ,0 ,48736370 ,3138426 ,3789122 ,125670 ,0 ,118070152 ,499175031 
