cons,old,new
RUS_INVNT,371,4
RUS_DPABR,372,4
SAU_HFCE,373,4
SAU_NPISH,374,4
SAU_GGFC,375,4
SAU_GFCF,376,4
SAU_INVNT,377,4
SAU_DPABR,378,4
SEN_HFCE,379,4
SEN_NPISH,380,4
SEN_GGFC,381,4
SEN_GFCF,382,4
SEN_INVNT,383,4
SEN_DPABR,384,4
SGP_HFCE,385,4
SGP_NPISH,386,4
SGP_GGFC,387,4
SGP_GFCF,388,4
SGP_INVNT,389,4
SGP_DPABR,390,4
SVK_HFCE,391,4
SVK_NPISH,392,4
SVK_GGFC,393,4
SVK_GFCF,394,4
SVK_INVNT,395,4
SVK_DPABR,396,4
SVN_HFCE,397,4
SVN_NPISH,398,4
SVN_GGFC,399,4
SVN_GFCF,400,4
SVN_INVNT,401,4
SVN_DPABR,402,4
SWE_HFCE,403,4
SWE_NPISH,404,4
SWE_GGFC,405,4
SWE_GFCF,406,4
SWE_INVNT,407,4
SWE_DPABR,408,4
THA_HFCE,409,4
THA_NPISH,410,4
THA_GGFC,411,4
THA_GFCF,412,4
THA_INVNT,413,4
THA_DPABR,414,4
TUN_HFCE,415,4
TUN_NPISH,416,4
TUN_GGFC,417,4
TUN_GFCF,418,4
TUN_INVNT,419,4
TUN_DPABR,420,4
TUR_HFCE,421,4
TUR_NPISH,422,4
TUR_GGFC,423,4
TUR_GFCF,424,4
TUR_INVNT,425,4
TUR_DPABR,426,4
TWN_HFCE,427,4
TWN_NPISH,428,4
TWN_GGFC,429,4
TWN_GFCF,430,4
TWN_INVNT,431,4
TWN_DPABR,432,4
UKR_HFCE,433,4
UKR_NPISH,434,4
UKR_GGFC,435,4
UKR_GFCF,436,4
UKR_INVNT,437,4
UKR_DPABR,438,4
USA_HFCE,439,3
USA_NPISH,440,3
USA_GGFC,441,3
USA_GFCF,442,3
USA_INVNT,443,3
USA_DPABR,444,3
VNM_HFCE,445,4
VNM_NPISH,446,4
VNM_GGFC,447,4
VNM_GFCF,448,4
VNM_INVNT,449,4
VNM_DPABR,450,4
ZAF_HFCE,451,4
ZAF_NPISH,452,4
ZAF_GGFC,453,4
ZAF_GFCF,454,4
ZAF_INVNT,455,4
ZAF_DPABR,456,4
ROW_HFCE,457,4
ROW_NPISH,458,4
ROW_GGFC,459,4
ROW_GFCF,460,4
ROW_INVNT,461,4
ROW_DPABR,462,4
