권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
충청권,충북,C09,"컴퓨터, 전자 및 광학기기",공산품,176,8
충청권,충북,C10,전기장비,공산품,177,8
충청권,충북,C11,기계 및 장비,공산품,178,8
충청권,충북,C12,운송장비,공산품,179,8
충청권,충북,C13,기타 제조업 제품,공산품,180,8
충청권,충북,C14,제조임가공 및 산업용 장비 수리,공산품,181,8
충청권,충북,D,"전력, 가스 및 증기",서비스,182,9
충청권,충북,E,"수도, 폐기물처리 및 재활용서비스",서비스,183,9
충청권,충북,F,건설,서비스,184,9
충청권,충북,G,도소매 및 상품중개서비스,서비스,185,9
충청권,충북,H,운송서비스,서비스,186,9
충청권,충북,I,음식점 및 숙박서비스,서비스,187,9
충청권,충북,J,정보통신 및 방송 서비스,서비스,188,9
충청권,충북,K,금융 및 보험 서비스,서비스,189,9
충청권,충북,L,부동산서비스,서비스,190,9
충청권,충북,M,"전문, 과학 및 기술 서비스",서비스,191,9
충청권,충북,N,사업지원서비스,서비스,192,9
충청권,충북,O,"공공행정, 국방 및 사회보장",서비스,193,9
충청권,충북,P,교육서비스,서비스,194,9
충청권,충북,Q,보건 및 사회복지 서비스,서비스,195,9
충청권,충북,R,"예술, 스포츠 및 여가 관련 서비스",서비스,196,9
충청권,충북,S,기타 서비스,서비스,197,9
충청권,충북,T,기타,서비스,198,9
충청권,충남,A,농림수산품,농산품,199,7
충청권,충남,B,광산품,공산품,200,8
충청권,충남,C01,음식료품,공산품,201,8
충청권,충남,C02,섬유 및 가죽제품,공산품,202,8
충청권,충남,C03,"목재 및 종이, 인쇄",공산품,203,8
충청권,충남,C04,석탄 및 석유제품,공산품,204,8
충청권,충남,C05,화학제품,공산품,205,8
충청권,충남,C06,비금속광물제품,공산품,206,8
충청권,충남,C07,1차 금속제품,공산품,207,8
충청권,충남,C08,금속가공제품,공산품,208,8
충청권,충남,C09,"컴퓨터, 전자 및 광학기기",공산품,209,8
충청권,충남,C10,전기장비,공산품,210,8
충청권,충남,C11,기계 및 장비,공산품,211,8
충청권,충남,C12,운송장비,공산품,212,8
충청권,충남,C13,기타 제조업 제품,공산품,213,8
충청권,충남,C14,제조임가공 및 산업용 장비 수리,공산품,214,8
충청권,충남,D,"전력, 가스 및 증기",서비스,215,9
충청권,충남,E,"수도, 폐기물처리 및 재활용서비스",서비스,216,9
충청권,충남,F,건설,서비스,217,9
충청권,충남,G,도소매 및 상품중개서비스,서비스,218,9
충청권,충남,H,운송서비스,서비스,219,9
충청권,충남,I,음식점 및 숙박서비스,서비스,220,9
충청권,충남,J,정보통신 및 방송 서비스,서비스,221,9
충청권,충남,K,금융 및 보험 서비스,서비스,222,9
충청권,충남,L,부동산서비스,서비스,223,9
충청권,충남,M,"전문, 과학 및 기술 서비스",서비스,224,9
충청권,충남,N,사업지원서비스,서비스,225,9
충청권,충남,O,"공공행정, 국방 및 사회보장",서비스,226,9
충청권,충남,P,교육서비스,서비스,227,9
충청권,충남,Q,보건 및 사회복지 서비스,서비스,228,9
충청권,충남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,229,9
충청권,충남,S,기타 서비스,서비스,230,9
충청권,충남,T,기타,서비스,231,9
서남권,광주,A,농림수산품,농산품,232,7
서남권,광주,B,광산품,공산품,233,8
서남권,광주,C01,음식료품,공산품,234,8
서남권,광주,C02,섬유 및 가죽제품,공산품,235,8
서남권,광주,C03,"목재 및 종이, 인쇄",공산품,236,8
서남권,광주,C04,석탄 및 석유제품,공산품,237,8
서남권,광주,C05,화학제품,공산품,238,8
서남권,광주,C06,비금속광물제품,공산품,239,8
서남권,광주,C07,1차 금속제품,공산품,240,8
서남권,광주,C08,금속가공제품,공산품,241,8
서남권,광주,C09,"컴퓨터, 전자 및 광학기기",공산품,242,8
서남권,광주,C10,전기장비,공산품,243,8
서남권,광주,C11,기계 및 장비,공산품,244,8
서남권,광주,C12,운송장비,공산품,245,8
서남권,광주,C13,기타 제조업 제품,공산품,246,8
서남권,광주,C14,제조임가공 및 산업용 장비 수리,공산품,247,8
서남권,광주,D,"전력, 가스 및 증기",서비스,248,9
서남권,광주,E,"수도, 폐기물처리 및 재활용서비스",서비스,249,9
서남권,광주,F,건설,서비스,250,9
서남권,광주,G,도소매 및 상품중개서비스,서비스,251,9
서남권,광주,H,운송서비스,서비스,252,9
서남권,광주,I,음식점 및 숙박서비스,서비스,253,9
서남권,광주,J,정보통신 및 방송 서비스,서비스,254,9
서남권,광주,K,금융 및 보험 서비스,서비스,255,9
서남권,광주,L,부동산서비스,서비스,256,9
서남권,광주,M,"전문, 과학 및 기술 서비스",서비스,257,9
서남권,광주,N,사업지원서비스,서비스,258,9
서남권,광주,O,"공공행정, 국방 및 사회보장",서비스,259,9
서남권,광주,P,교육서비스,서비스,260,9
서남권,광주,Q,보건 및 사회복지 서비스,서비스,261,9
서남권,광주,R,"예술, 스포츠 및 여가 관련 서비스",서비스,262,9
서남권,광주,S,기타 서비스,서비스,263,9
서남권,광주,T,기타,서비스,264,9
서남권,전북,A,농림수산품,농산품,265,7
서남권,전북,B,광산품,공산품,266,8
서남권,전북,C01,음식료품,공산품,267,8
서남권,전북,C02,섬유 및 가죽제품,공산품,268,8
서남권,전북,C03,"목재 및 종이, 인쇄",공산품,269,8
