cons,old,new
CHL_J61,529,12
CHL_J62_63,530,12
CHL_K,531,12
CHL_L,532,12
CHL_M,533,12
CHL_N,534,12
CHL_O,535,12
CHL_P,536,12
CHL_Q,537,12
CHL_R,538,12
CHL_S,539,12
CHL_T,540,12
CHN_A01_02,541,4
CHN_A03,542,4
CHN_B05_06,543,5
CHN_B07_08,544,5
CHN_B09,545,5
CHN_C10T12,546,5
CHN_C13T15,547,5
CHN_C16,548,5
CHN_C17_18,549,5
CHN_C19,550,5
CHN_C20,551,5
CHN_C21,552,5
CHN_C22,553,5
CHN_C23,554,5
CHN_C24,555,5
CHN_C25,556,5
CHN_C26,557,5
CHN_C27,558,5
CHN_C28,559,5
CHN_C29,560,5
CHN_C30,561,5
CHN_C31T33,562,5
CHN_D,563,6
CHN_E,564,6
CHN_F,565,6
CHN_G,566,6
CHN_H49,567,6
CHN_H50,568,6
CHN_H51,569,6
CHN_H52,570,6
CHN_H53,571,6
CHN_I,572,6
CHN_J58T60,573,6
CHN_J61,574,6
CHN_J62_63,575,6
CHN_K,576,6
CHN_L,577,6
CHN_M,578,6
CHN_N,579,6
CHN_O,580,6
CHN_P,581,6
CHN_Q,582,6
CHN_R,583,6
CHN_S,584,6
CHN_T,585,6
CIV_A01_02,586,10
CIV_A03,587,10
CIV_B05_06,588,11
CIV_B07_08,589,11
CIV_B09,590,11
CIV_C10T12,591,11
CIV_C13T15,592,11
CIV_C16,593,11
CIV_C17_18,594,11
CIV_C19,595,11
CIV_C20,596,11
CIV_C21,597,11
CIV_C22,598,11
CIV_C23,599,11
CIV_C24,600,11
CIV_C25,601,11
CIV_C26,602,11
CIV_C27,603,11
CIV_C28,604,11
CIV_C29,605,11
CIV_C30,606,11
CIV_C31T33,607,11
CIV_D,608,12
CIV_E,609,12
CIV_F,610,12
CIV_G,611,12
CIV_H49,612,12
CIV_H50,613,12
CIV_H51,614,12
CIV_H52,615,12
CIV_H53,616,12
CIV_I,617,12
CIV_J58T60,618,12
CIV_J61,619,12
CIV_J62_63,620,12
