code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290,9310,9329,9390
I,음식점 및 숙박서비스,505745 ,78718 ,433905 ,528480 ,443570 ,325121 ,1479119 ,341107 ,810672 ,896288 ,1057369 ,470319 ,922063 ,902065 ,172317 ,1465542 ,241810 ,315321 ,786416 ,9106068 ,1713659 ,955487 ,2161362 ,3582025 ,1042891 ,6457941 ,2234624 ,1981179 ,6537875 ,3295957 ,1411372 ,2971875 ,55628261 ,82814060 ,0 ,0 ,0 ,0 ,0 ,7042220 ,89856280 ,145484541 ,131926155 ,13558386 ,145484541 
J,정보통신 및 방송 서비스,191029 ,19880 ,231839 ,193487 ,237473 ,413305 ,672422 ,212111 ,456256 ,468607 ,1270372 ,358627 ,414375 ,517449 ,90910 ,468765 ,131107 ,327792 ,447218 ,10170400 ,1685109 ,928789 ,18457255 ,8687720 ,732405 ,16373171 ,1790339 ,2528659 ,3389897 ,533617 ,1558220 ,982885 ,74941490 ,32531083 ,0 ,28083841 ,242767 ,19850 ,0 ,5527599 ,66405140 ,141346630 ,135412832 ,5933798 ,141346630 
K,금융 및 보험 서비스,878012 ,164761 ,815843 ,930076 ,643369 ,217007 ,2361952 ,489830 ,1519909 ,1369650 ,3311833 ,946359 ,2043674 ,2790673 ,232451 ,614110 ,1108709 ,489779 ,4099411 ,6869826 ,2069579 ,1869992 ,1830704 ,24555039 ,15875393 ,3798625 ,298839 ,3667897 ,1581982 ,2423659 ,487161 ,1311054 ,91667158 ,65535602 ,0 ,0 ,0 ,0 ,0 ,2859010 ,68394612 ,160061770 ,156925173 ,3136597 ,160061770 
L,부동산서비스,50251 ,6675 ,239377 ,392604 ,161823 ,160883 ,392515 ,75962 ,368460 ,261922 ,252128 ,261416 ,147776 ,386070 ,123273 ,476320 ,145451 ,339662 ,592819 ,13433385 ,1147597 ,6181277 ,1555177 ,5944047 ,5249586 ,5055025 ,1099290 ,925432 ,2039200 ,2608472 ,634458 ,1340337 ,52048670 ,114778476 ,0 ,26009160 ,16275 ,0 ,0 ,429765 ,141233676 ,193282346 ,191497517 ,1784829 ,193282346 
M,"전문, 과학 및 기술 서비스",754673 ,174478 ,3479280 ,1350085 ,887585 ,2788985 ,10523953 ,1253031 ,4506381 ,2358436 ,7727853 ,3189409 ,2813819 ,7745834 ,687783 ,1542021 ,1471762 ,786515 ,17659925 ,12527002 ,2456156 ,1868424 ,8662032 ,4868037 ,1025304 ,9934331 ,2565344 ,1829812 ,2488769 ,794862 ,1008724 ,659536 ,122390142 ,3138245 ,0 ,59111665 ,9942361 ,0 ,0 ,15901469 ,88093740 ,210483882 ,186524180 ,23959702 ,210483882 
N,사업지원서비스,137370 ,128818 ,404747 ,372882 ,371958 ,547390 ,1123964 ,233818 ,1364914 ,774300 ,1741581 ,512270 ,442314 ,4139563 ,116295 ,1881491 ,826732 ,518782 ,6333781 ,7647830 ,7464078 ,1000650 ,4495462 ,7395351 ,7325805 ,6882799 ,4844481 ,3134749 ,2025181 ,1074759 ,1838681 ,415099 ,77517896 ,3894844 ,0 ,0 ,0 ,0 ,0 ,8784508 ,12679352 ,90197248 ,76481272 ,13715976 ,90197248 
O,"공공행정, 국방 및 사회보장",133260 ,8194 ,21874 ,29142 ,37860 ,21522 ,383230 ,19587 ,29472 ,87502 ,115972 ,57003 ,80202 ,35039 ,13932 ,139294 ,40792 ,3016 ,47683 ,180114 ,687249 ,21928 ,145262 ,96376 ,141238 ,57084 ,54385 ,0 ,3984 ,223869 ,11738 ,19302 ,2947107 ,1165776 ,119834041 ,0 ,0 ,0 ,0 ,37565 ,121037382 ,123984489 ,123378849 ,605640 ,123984489 
P,교육서비스,3156 ,735 ,24535 ,7853 ,15632 ,26614 ,95048 ,17385 ,66239 ,73106 ,48077 ,48475 ,59804 ,43478 ,2775 ,127963 ,17801 ,10067 ,44611 ,539492 ,46102 ,49131 ,83303 ,262161 ,63818 ,227594 ,38926 ,5027 ,50429 ,11089 ,14993 ,57382 ,2182803 ,56016387 ,60287050 ,0 ,0 ,0 ,0 ,171152 ,116474589 ,118657392 ,116328647 ,2328745 ,118657392 
Q,보건 및 사회복지 서비스,124528 ,11636 ,101471 ,69260 ,70384 ,43733 ,240887 ,52640 ,134764 ,189793 ,162489 ,111231 ,201780 ,273951 ,32372 ,157043 ,55426 ,85403 ,368310 ,1093704 ,190725 ,401512 ,257826 ,523969 ,134605 ,593721 ,201255 ,74031 ,296763 ,624593 ,146487 ,123541 ,7149834 ,45998376 ,66877855 ,0 ,0 ,0 ,0 ,370313 ,113246544 ,120396378 ,119620062 ,776316 ,120396378 
R,"예술, 스포츠 및 여가 관련 서비스",58099 ,19320 ,62126 ,67455 ,61731 ,54980 ,197161 ,41468 ,164248 ,148301 ,82880 ,67841 ,114563 ,76434 ,18534 ,118357 ,29100 ,45632 ,154334 ,355801 ,614870 ,96124 ,1266535 ,407475 ,128174 ,848561 ,157507 ,56889 ,585850 ,136236 ,1228520 ,211387 ,7676492 ,33512834 ,1923311 ,477638 ,0 ,0 ,27643 ,1037209 ,36978635 ,44655127 ,40293777 ,4361350 ,44655127 
S,기타 서비스,104857 ,20954 ,173588 ,86947 ,83406 ,128182 ,290454 ,103286 ,258293 ,255291 ,595453 ,211701 ,287207 ,231044 ,25426 ,335759 ,65469 ,168255 ,413442 ,1787773 ,2344868 ,371731 ,465618 ,752290 ,238827 ,1340426 ,695496 ,225844 ,929810 ,256782 ,353572 ,397373 ,13999426 ,40211324 ,0 ,0 ,0 ,0 ,0 ,611914 ,40823238 ,54822664 ,54193336 ,629328 ,54822664 
9590,중간투입계,28113380 ,1987709 ,91496275 ,63979781 ,29543249 ,76263662 ,174547758 ,27219431 ,99731528 ,64318934 ,188297965 ,66495796 ,88246352 ,208342225 ,14515432 ,31127550 ,58661187 ,8957877 ,130085285 ,112267256 ,86463255 ,86380918 ,62395956 ,64695075 ,45100542 ,91515267 ,23046945 ,27887845 ,35907649 ,56476962 ,18071319 ,30146873 ,2192287238 ,804812352 ,250087968 ,409152899 ,71848828 ,6690613 ,1909194 ,716951177 ,2261453031 ,4453740269 ,3829737906 ,624002363 ,4453740269 
9610,피용자보수,5243464 ,694732 ,9906095 ,7417072 ,5973894 ,1366271 ,21429173 ,4644470 ,8872812 ,16436533 ,25422542 ,9931479 ,18957911 ,23985502 ,2958342 ,18818145 ,5053111 ,4473375 ,65870465 ,68805333 ,29782807 ,25047779 ,26761141 ,37605414 ,12461734 ,63483523 ,31258538 ,59572563 ,68393110 ,46641138 ,7829860 ,15114717 ,750213045 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9621,영업잉여,22576442 ,1148712 ,5076670 ,4095066 ,5416981 ,8606221 ,30620004 ,4032787 ,7486610 ,15980609 ,24466676 ,8306589 ,10213809 ,2987149 ,1765980 ,9763067 ,13951271 ,2258664 ,9269532 ,48740778 ,7544026 ,10049543 ,21139053 ,40090569 ,70670408 ,18122042 ,16067489 ,0 ,1686652 ,9626201 ,5344520 ,4361049 ,441465169 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9622,고정자본소모,4828393 ,355891 ,3818737 ,2140284 ,1109629 ,2750547 ,16098393 ,3204533 ,8177470 ,2709100 ,41342737 ,9981111 ,6551782 ,15454361 ,118325 ,1007431 ,12504534 ,3474773 ,4044917 ,7541473 ,20574817 ,2834890 ,21068853 ,7305129 ,35758611 ,11448949 ,4305131 ,35915574 ,10205584 ,6663180 ,4182436 ,2192106 ,309669681 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9630,생산세(보조금공제),610044 ,-61826 ,11849443 ,1696934 ,870263 ,21163332 ,2687834 ,577467 ,645782 ,842386 ,2683641 ,958165 ,1040053 ,7208264 ,788419 ,487628 ,2629937 ,56884 ,14346752 ,10292802 ,-3020394 ,7613025 ,4047829 ,7228986 ,27506222 ,1954399 ,1803169 ,2867 ,135652 ,212581 ,4865642 ,2378591 ,136102773 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9690,부가가치계,33258343 ,2137509 ,30650945 ,15349356 ,13370767 ,33886371 ,70835404 ,12459257 ,25182674 ,35968628 ,93915596 ,29177344 ,36763555 ,49635276 ,5631066 ,30076271 ,34138853 ,10263696 ,93531666 ,135380386 ,54881256 ,45545237 ,73016876 ,92230098 ,146396975 ,95008913 ,53434327 ,95491004 ,80420998 ,63143100 ,22222458 ,24046463 ,1637450668 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9790,총투입계,61371723 ,4125218 ,122147220 ,79329137 ,42914016 ,110150033 ,245383162 ,39678688 ,124914202 ,100287562 ,282213561 ,95673140 ,125009907 ,257977501 ,20146498 ,61203821 ,92800040 ,19221573 ,223616951 ,247647642 ,141344511 ,131926155 ,135412832 ,156925173 ,191497517 ,186524180 ,76481272 ,123378849 ,116328647 ,119620062 ,40293777 ,54193336 ,3829737906 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
